pu_month,pu_day,pu_year,pu_time,do_month,do_day,do_year,do_time,htp_am,htp_pm,trip_period,passenger_count,trip_distance,pu_loc_id,pu_taxi_zone,do_loc_id,do_taxi_zone,payment_type_readable,total_cost
01,01,2017,00:32,01,01,2017,00:37,0,0,Late Night,1,1.2,140,Lenox Hill East,236,Upper East Side North,Cash,7.8
01,01,2017,00:43,01,01,2017,00:47,0,0,Late Night,2,0.7,237,Upper East Side South,140,Lenox Hill East,Cash,6.3
01,01,2017,00:49,01,01,2017,00:53,0,0,Late Night,2,0.8,140,Lenox Hill East,237,Upper East Side South,Cash,6.8
01,01,2017,00:36,01,01,2017,00:41,0,0,Late Night,1,1.1,41,Central Harlem,42,Central Harlem North,Cash,7.3
01,01,2017,00:07,01,01,2017,00:18,0,0,Late Night,1,3.0,48,Clinton East,263,Yorkville West,Cash,12.3
01,01,2017,00:20,01,01,2017,00:24,0,0,Late Night,2,0.7,236,Upper East Side North,262,Yorkville East,Cash,6.3
01,01,2017,00:33,01,01,2017,00:42,0,0,Late Night,2,1.6,236,Upper East Side North,238,Upper West Side North,Credit card,11.15
01,01,2017,00:48,01,01,2017,00:52,0,0,Late Night,2,0.6,238,Upper West Side North,239,Upper West Side South,Credit card,7.55
01,01,2017,00:57,01,01,2017,01:06,0,0,Late Night,2,1.0,239,Upper West Side South,48,Clinton East,Credit card,10.55
01,01,2017,00:10,01,01,2017,00:29,0,0,Late Night,1,1.0,246,West Chelsea/Hudson Yards,48,Clinton East,Cash,13.3
01,01,2017,00:38,01,01,2017,01:30,0,0,Late Night,4,2.5,48,Clinton East,162,Midtown East,Cash,30.3
01,01,2017,00:26,01,01,2017,00:32,0,0,Late Night,3,1.1,114,Greenwich Village South,79,East Village,Cash,7.3
01,01,2017,00:41,01,01,2017,01:03,0,0,Late Night,2,3.3,114,Greenwich Village South,161,Midtown Center,Cash,17.3
01,01,2017,00:23,01,01,2017,00:41,0,0,Late Night,2,1.9,263,Yorkville West,161,Midtown Center,Credit card,17.15
01,01,2017,00:46,01,01,2017,00:55,0,0,Late Night,2,0.5,161,Midtown Center,161,Midtown Center,Credit card,9.8
01,01,2017,00:59,01,01,2017,01:13,0,0,Late Night,2,2.8,163,Midtown North,145,Long Island City/Hunters Point,Credit card,16.55
01,01,2017,00:08,01,01,2017,00:21,0,0,Late Night,1,1.9,161,Midtown Center,140,Lenox Hill East,Credit card,13.8
01,01,2017,00:23,01,01,2017,00:34,0,0,Late Night,1,3.0,140,Lenox Hill East,224,Stuy Town/Peter Cooper Village,Credit card,15.95
01,01,2017,00:39,01,01,2017,00:49,0,0,Late Night,1,1.1,107,Gramercy,186,Penn Station/Madison Sq West,Cash,8.8
01,01,2017,00:52,01,01,2017,01:09,0,0,Late Night,1,1.3,186,Penn Station/Madison Sq West,170,Murray Hill,Credit card,13.8
01,01,2017,00:19,01,01,2017,00:30,0,0,Late Night,1,0.1,48,Clinton East,48,Clinton East,Cash,7.3
01,01,2017,00:33,01,01,2017,01:17,0,0,Late Night,1,2.47,48,Clinton East,170,Murray Hill,Cash,26.3
01,01,2017,00:26,01,01,2017,00:55,0,0,Late Night,1,4.8,246,West Chelsea/Hudson Yards,262,Yorkville East,Credit card,26.75
01,01,2017,00:58,01,01,2017,01:03,0,0,Late Night,1,0.6,262,Yorkville East,236,Upper East Side North,Cash,6.3
01,01,2017,00:27,01,01,2017,00:34,0,0,Late Night,1,0.76,237,Upper East Side South,141,Lenox Hill West,Cash,7.3
01,01,2017,00:38,01,01,2017,00:46,0,0,Late Night,1,1.82,237,Upper East Side South,43,Central Park,Cash,9.3
01,01,2017,00:51,01,01,2017,01:02,0,0,Late Night,1,1.36,236,Upper East Side North,161,Midtown Center,Credit card,12.25
01,01,2017,00:06,01,01,2017,00:17,0,0,Late Night,1,1.1,249,West Village,234,Union Sq,Credit card,9.3
01,01,2017,00:23,01,01,2017,00:38,0,0,Late Night,2,2.2,170,Murray Hill,211,SoHo,Cash,12.8
01,01,2017,00:41,01,01,2017,00:55,0,0,Late Night,1,2.8,211,SoHo,246,West Chelsea/Hudson Yards,Cash,12.8
01,01,2017,00:23,01,01,2017,00:33,0,0,Late Night,2,2.2,249,West Village,13,Battery Park City,Credit card,12.8
01,01,2017,00:46,01,01,2017,01:27,0,0,Late Night,1,7.0,87,Financial District North,239,Upper West Side South,Credit card,39.75
01,01,2017,00:10,01,01,2017,00:23,0,0,Late Night,1,2.15,262,Yorkville East,151,Manhattan Valley,Credit card,14.16
01,01,2017,00:30,01,01,2017,00:33,0,0,Late Night,1,0.54,239,Upper West Side South,238,Upper West Side North,Cash,5.8
01,01,2017,00:34,01,01,2017,00:37,0,0,Late Night,1,0.4,238,Upper West Side North,151,Manhattan Valley,Credit card,6.0
