pu_date,pu_time,do_date,do_time,htp_am,htp_pm,trip_period,passenger_count,trip_distance,pu_loc_id,pu_taxi_zone,do_loc_id,do_taxi_zone,payment_type_readable,total_cost
08-01-2020,00:02,08-01-2020,00:28,0,0,Late Night,1.0,13.2,237,Upper East Side South,16,Bayside,Cash,40.3
08-01-2020,00:31,08-01-2020,00:36,0,0,Late Night,1.0,2.34,79,East Village,141,Lenox Hill West,Credit card,14.16
08-01-2020,00:39,08-01-2020,00:42,0,0,Late Night,1.0,1.32,141,Lenox Hill West,263,Yorkville West,Credit card,11.16
08-01-2020,00:22,08-01-2020,00:31,0,0,Late Night,1.0,0.88,41,Central Harlem,74,East Harlem North,Cash,8.3
08-01-2020,00:53,08-01-2020,01:01,0,0,Late Night,1.0,3.0,170,Murray Hill,232,Two Bridges/Seward Park,Cash,15.3
08-01-2020,00:02,08-01-2020,00:19,0,0,Late Night,1.0,4.0,229,Sutton Place/Turtle Bay North,231,TriBeCa/Civic Center,Credit card,22.56
08-01-2020,00:37,08-01-2020,01:11,0,0,Late Night,2.0,13.44,249,West Village,89,Flatbush/Ditmas Park,Credit card,54.36
08-01-2020,00:08,08-01-2020,00:20,0,0,Late Night,3.0,3.63,141,Lenox Hill West,226,Sunnyside,Credit card,18.8
08-01-2020,00:30,08-01-2020,00:38,0,0,Late Night,1.0,3.34,239,Upper West Side South,233,UN/Turtle Bay South,Credit card,17.3
08-01-2020,00:06,08-01-2020,00:16,0,0,Late Night,1.0,2.1,186,Penn Station/Madison Sq West,79,East Village,Credit card,17.25
08-01-2020,00:35,08-01-2020,00:56,0,0,Late Night,1.0,11.9,79,East Village,78,East Tremont,Credit card,36.8
08-01-2020,00:00,08-01-2020,00:07,0,0,Late Night,2.0,2.86,140,Lenox Hill East,224,Stuy Town/Peter Cooper Village,Credit card,17.94
08-01-2020,00:15,08-01-2020,00:27,0,0,Late Night,2.0,2.73,4,Alphabet City,256,Williamsburg (South Side),Cash,15.3
08-01-2020,00:43,08-01-2020,00:49,0,0,Late Night,5.0,0.75,116,Hamilton Heights,152,Manhattanville,Cash,7.3
08-01-2020,00:50,08-01-2020,00:58,0,0,Late Night,2.0,2.91,152,Manhattanville,244,Washington Heights South,Credit card,11.8
08-01-2020,01:00,08-01-2020,01:11,0,0,Late Night,5.0,5.45,244,Washington Heights South,151,Manhattan Valley,Credit card,20.8
08-01-2020,00:00,08-01-2020,00:07,0,0,Late Night,2.0,1.8,142,Lincoln Square East,238,Upper West Side North,Cash,12.3
08-01-2020,00:16,08-01-2020,00:30,0,0,Late Night,1.0,5.1,48,Clinton East,7,Astoria,Cash,20.8
08-01-2020,00:18,08-01-2020,00:23,0,0,Late Night,1.0,1.08,161,Midtown Center,48,Clinton East,Cash,9.8
08-01-2020,00:28,08-01-2020,00:34,0,0,Late Night,1.0,2.04,48,Clinton East,239,Upper West Side South,Credit card,13.0
08-01-2020,00:55,08-01-2020,00:58,0,0,Late Night,1.0,0.76,166,Morningside Heights,152,Manhattanville,Cash,5.8
08-01-2020,00:04,08-01-2020,00:16,0,0,Late Night,1.0,3.96,166,Morningside Heights,244,Washington Heights South,Cash,15.8
08-01-2020,00:23,08-01-2020,00:28,0,0,Late Night,1.0,0.96,244,Washington Heights South,116,Hamilton Heights,Cash,6.8
08-01-2020,00:32,08-01-2020,00:35,0,0,Late Night,1.0,0.76,152,Manhattanville,166,Morningside Heights,Cash,6.3
08-01-2020,00:35,08-01-2020,00:42,0,0,Late Night,1.0,1.83,238,Upper West Side North,236,Upper East Side North,Credit card,13.8
08-01-2020,00:29,08-01-2020,00:50,0,0,Late Night,1.0,12.1,140,Lenox Hill East,227,Sunset Park East,Cash,38.3
08-01-2020,00:12,08-01-2020,00:18,0,0,Late Night,1.0,2.0,141,Lenox Hill West,146,Long Island City/Queens Plaza,Credit card,14.15
08-01-2020,00:30,08-01-2020,00:37,0,0,Late Night,1.0,3.2,263,Yorkville West,137,Kips Bay,Credit card,16.55
08-01-2020,00:55,08-01-2020,01:07,0,0,Late Night,1.0,3.3,263,Yorkville West,230,Times Sq/Theatre District,Cash,15.8
08-01-2020,00:03,08-01-2020,00:08,0,0,Late Night,1.0,2.0,48,Clinton East,239,Upper West Side South,Credit card,13.3
08-01-2020,00:21,08-01-2020,00:40,0,0,Late Night,2.0,5.3,48,Clinton East,232,Two Bridges/Seward Park,Credit card,27.95
08-01-2020,00:44,08-01-2020,01:00,0,0,Late Night,1.0,4.9,45,Chinatown,68,East Chelsea,Credit card,24.95
08-01-2020,00:12,08-01-2020,00:19,0,0,Late Night,1.0,1.7,186,Penn Station/Madison Sq West,158,Meatpacking/West Village West,Credit card,13.5
08-01-2020,00:22,08-01-2020,00:27,0,0,Late Night,1.0,1.3,158,Meatpacking/West Village West,68,East Chelsea,Credit card,12.7
08-01-2020,00:39,08-01-2020,00:52,0,0,Late Night,1.0,3.4,142,Lincoln Square East,41,Central Harlem,Credit card,21.6
08-01-2020,00:57,08-01-2020,01:16,0,0,Late Night,1.0,5.9,41,Central Harlem,68,East Chelsea,Credit card,29.75
08-01-2020,00:37,08-01-2020,01:11,0,0,Late Night,1.0,12.27,140,Lenox Hill East,26,Borough Park,Cash,41.8
08-01-2020,00:42,08-01-2020,00:55,0,0,Late Night,3.0,7.12,232,Two Bridges/Seward Park,263,Yorkville West,Credit card,30.36
08-01-2020,00:20,08-01-2020,00:37,0,0,Late Night,1.0,4.98,233,UN/Turtle Bay South,179,Old Astoria,Credit card,26.0
08-01-2020,00:43,08-01-2020,00:55,0,0,Late Night,1.0,4.35,148,Lower East Side,263,Yorkville West,Credit card,21.36
08-01-2020,00:16,08-01-2020,00:22,0,0,Late Night,2.0,1.5,50,Clinton West,186,Penn Station/Madison Sq West,Credit card,10.3
08-01-2020,00:24,08-01-2020,00:26,0,0,Late Night,1.0,0.4,186,Penn Station/Madison Sq West,90,Flatiron,Cash,7.3
08-01-2020,00:28,08-01-2020,00:32,0,0,Late Night,1.0,0.9,90,Flatiron,48,Clinton East,Cash,9.3
08-01-2020,00:37,08-01-2020,00:54,0,0,Late Night,1.0,5.6,48,Clinton East,152,Manhattanville,Credit card,27.35
08-01-2020,00:13,08-01-2020,00:27,0,0,Late Night,1.0,7.81,238,Upper West Side North,220,Spuyten Duyvil/Kingsbridge,Cash,26.1
08-01-2020,00:51,08-01-2020,01:07,0,0,Late Night,1.0,5.2,263,Yorkville West,112,Greenpoint,Credit card,24.96
08-01-2020,00:22,08-01-2020,00:46,0,0,Late Night,1.0,5.4,48,Clinton East,42,Central Harlem North,Cash,24.3
08-01-2020,00:34,08-01-2020,00:47,0,0,Late Night,1.0,4.6,79,East Village,236,Upper East Side North,Credit card,19.3
08-01-2020,00:26,08-01-2020,00:35,0,0,Late Night,1.0,1.69,238,Upper West Side North,236,Upper East Side North,Credit card,15.99
08-01-2020,00:06,08-01-2020,00:08,0,0,Late Night,4.0,0.4,75,East Harlem South,75,East Harlem South,No charge,4.8
08-01-2020,00:13,08-01-2020,01:12,0,0,Late Night,1.0,14.33,107,Gramercy,39,Canarsie,Credit card,66.36
08-01-2020,00:17,08-01-2020,00:23,0,0,Late Night,2.0,0.7,163,Midtown North,143,Lincoln Square West,Cash,9.8
08-01-2020,00:33,08-01-2020,00:38,0,0,Late Night,3.0,1.8,48,Clinton East,68,East Chelsea,Credit card,11.8
08-01-2020,00:40,08-01-2020,00:46,0,0,Late Night,1.0,1.2,249,West Village,211,SoHo,Cash,9.8
08-01-2020,00:53,08-01-2020,01:06,0,0,Late Night,3.0,4.6,249,West Village,236,Upper East Side North,Credit card,22.56
08-01-2020,00:36,08-01-2020,00:46,0,0,Late Night,1.0,3.25,75,East Harlem South,159,Melrose South,Cash,12.8
08-01-2020,00:16,08-01-2020,00:29,0,0,Late Night,2.0,5.11,48,Clinton East,87,Financial District North,Credit card,24.75
08-01-2020,00:42,08-01-2020,00:57,0,0,Late Night,2.0,3.95,211,SoHo,112,Greenpoint,Credit card,22.56
08-01-2020,00:06,08-01-2020,00:14,0,0,Late Night,2.0,1.56,239,Upper West Side South,236,Upper East Side North,Credit card,15.34
08-01-2020,00:21,08-01-2020,00:25,0,0,Late Night,1.0,1.06,263,Yorkville West,75,East Harlem South,Credit card,10.3
08-01-2020,00:05,08-01-2020,00:13,0,0,Late Night,1.0,1.7,162,Midtown East,140,Lenox Hill East,Cash,11.3
08-01-2020,00:18,08-01-2020,00:23,0,0,Late Night,1.0,0.8,140,Lenox Hill East,263,Yorkville West,Cash,9.3
08-01-2020,00:31,08-01-2020,00:33,0,0,Late Night,1.0,0.8,237,Upper East Side South,162,Midtown East,Credit card,8.8
08-01-2020,00:43,08-01-2020,00:54,0,0,Late Night,2.0,2.9,234,Union Sq,142,Lincoln Square East,Credit card,17.75
08-01-2020,00:30,08-01-2020,00:41,0,0,Late Night,1.0,3.2,234,Union Sq,141,Lenox Hill West,Credit card,19.8
08-01-2020,00:52,08-01-2020,00:58,0,0,Late Night,1.0,1.19,162,Midtown East,48,Clinton East,Credit card,10.8
